Pinyin,Simplified Form,Traditional Form,Semantic Component,Phonetic Component
a,啊,啊,口,阿
ai,哀,哀,口,衣
ai,哎,哎,口,艾
ai,唉,唉,口,矣
ai,埃,埃,土,矣
ai,挨,挨,扌,矣
ai2,捱,捱,手,厓
ai2,皚,皚,白,豈
ai2,皑,皚,白,豈
ai3,毐,毐,士,毋
ai3,矮,矮,矢,委
ai3,藹,藹,言,葛
ai3,靄,靄,雨,藹
ai3,蔼,藹,艸,謁
ai3,霭,靄,雨,謁
ai4,艾,艾,艸,乂
ai4,愛,愛,夊,㤅
ai4,噯,噯,口,爱
ai4,曖,曖,日,爱
ai4,璦,璦,王,爱
ai4,礙,礙,石,疑
ai4,嗳,噯,口,爱
ai4,暧,曖,日,爱
ai4,爱,愛,夊,㤅
ai4,瑷,璦,王,爱
ai4,碍,礙,石,疑
an,安,安,宀,女
an,氨,氨,气,安
an,銨,銨,金,安
an,鞍,鞍,革,安
an,諳,諳,言,音
an,鵪,鵪,奄,鳥
an,谙,諳,讠,音
an,铵,銨,钅,安
an,鹌,鵪,奄,鳥
an3,俺,俺,人,奄
an4,岸,岸,屵,干
an4,按,按,手,安
an4,案,案,安,木
an4,菴,菴,艸,奄